GRE Score,GPA,IELTS Score,Research Paper,University Ranking,University Name,Admit Probability,country,course
136,1.1,6.5,25,92,Texas A&M University,0.92,US,CE/CS
290,2.2,7.5,70,8,College Park,0.29,US,CE/CS
94,0.1,3.6,87,37,University of California,0.29,US,CE/CS
178,0.5,8.1,50,40,California Institute of Technology (Caltech),0.36,US,CE/CS
266,2.9,2.4,42,28,University of California,0.49,US,CE/CS
300,1.9,1.1,23,56,Vanderbilt University,0.48,US,CE/CS
289,0.9,6.8,88,66,Case Western Reserve University,0.22,US,CE/CS
224,0.8,2.0,51,48,University of Washington,0.84,US,CE/CS
288,3.0,7.9,27,34,Texas A&M University,0.74,US,CE/CS
81,1.2,3.2,18,67,Colorado State University,0.19,US,CE/CS
129,2.3,2.4,32,29,Emory University,0.15,US,CE/CS
273,2.4,3.0,11,80,University of California,0.4,US,CE/CS
198,1.6,7.0,74,63,Stanford University,0.55,US,CE/CS
228,1.8,6.3,66,91,University of Maryland,0.43,US,CE/CS
193,1.7,1.4,60,55,University of Miami,0.71,US,CE/CS
257,0.9,1.0,55,19,Auburn University.,0.29,US,CE/CS
21,3.9,7.7,48,23,University of South Carolina,0.45,US,CE/CS
284,3.3,6.3,95,7,Michigan State University,0.1,US,CE/CS
205,0.8,4.2,62,94,University of Pittsburgh,0.25,US,CE/CS
108,0.6,6.7,99,60,University of Pittsburgh,0.42,US,CE/CS
140,1.1,4.9,88,53,University of California,0.59,US,CE/CS
304,1.9,8.0,1,41,Harvard University,0.89,US,CE/CS
110,0.2,5.0,83,100,University of Florida,0.91,US,CE/CS
170,0.7,1.0,24,37,Los Angeles (UCLA),0.31,US,CE/CS
15,2.3,3.0,42,34,University of Minnesota - Twin Cities,0.8,US,CE/CS
96,0.2,0.3,70,20,University of California,0.51,US,CE/CS
227,3.7,3.3,44,0,University of Virginia,0.68,US,CE/CS
304,0.8,5.9,34,45,Colorado State University,0.71,US,CE/CS
280,3.6,4.7,5,69,Florida State University,0.59,US,CE/CS
140,2.0,8.8,9,73,Massachusetts Institute of Technology (MIT),0.55,US,CE/CS
267,3.6,7.9,35,16,Irvine (UCI),0.81,US,CE/CS
121,1.4,2.9,29,81,University of Southern California (USC),0.63,US,CE/CS
143,1.1,2.4,85,92,University of Florida,0.31,US,CE/CS
275,2.7,4.1,50,13,University of California,0.5,US,CE/CS
320,2.1,5.0,58,88,University of Colorado Boulder,0.3,US,CE/CS
173,0.6,6.7,93,71,University of California,0.63,US,CE/CS
140,2.4,1.9,5,38,Boston University,0.95,US,CE/CS
104,2.2,7.1,85,30,Auburn University.,0.84,US,CE/CS
265,2.7,6.1,73,42,University of Wisconsin-Madison,0.18,US,CE/CS
10,3.8,7.7,80,3,University of Maryland,0.18,US,CE/CS
130,3.7,8.8,74,42,Texas A&M University,0.24,US,CE/CS
111,3.8,5.8,51,5,University of California,0.48,US,CE/CS
102,2.4,6.1,65,14,University of Alabama,0.43,US,CE/CS
33,2.3,4.4,34,29,University of Virginia,0.19,US,CE/CS
296,2.0,2.8,56,5,University of Minnesota - Twin Cities,0.72,US,CE/CS
308,1.0,0.5,76,47,George Washington University,0.95,US,CE/CS
313,2.1,6.5,8,25,University of Virginia,0.81,US,CE/CS
206,3.4,7.4,90,7,University of Arizona,0.2,US,CE/CS
323,3.4,1.0,59,47,University of New Hampshire,0.29,US,CE/CS
38,3.2,8.0,17,94,University of California,0.73,US,CE/CS
173,3.3,8.9,95,79,Purdue University,0.99,US,CE/CS
137,3.5,6.1,19,75,Michigan State University,0.58,US,CE/CS
284,0.4,3.8,100,11,University of Oregon,0.54,US,CE/CS
179,0.0,8.0,92,43,University of Southern California (USC),0.9,US,CE/CS
193,1.3,4.7,76,19,University of Iowa,0.3,US,CE/CS
172,2.0,3.0,38,15,Riverside,0.76,US,CE/CS
304,1.1,3.2,41,83,Emory University,0.63,US,CE/CS
161,1.2,6.9,76,22,Case Western Reserve University,0.08,US,CE/CS
319,0.7,1.0,61,86,University of Delaware,0.17,US,CE/CS
82,3.8,5.7,46,18,University of Nebraska-Lincoln,0.25,US,CE/CS
270,2.2,5.1,60,16,Berkeley,0.43,US,CE/CS
128,2.3,6.3,43,17,Texas A&M University,0.59,US,CE/CS
150,1.4,7.4,71,48,University of Maryland,0.57,US,CE/CS
141,0.4,5.1,15,84,University of Miami,0.27,US,CE/CS
41,0.4,0.8,83,81,University of California,0.79,US,CE/CS
325,0.2,6.7,52,59,University of California,0.87,US,CE/CS
210,0.9,4.9,84,8,University of Iowa,0.09,US,CE/CS
65,1.5,0.1,70,82,George Washington University,0.77,US,CE/CS
24,0.1,0.3,82,16,University of California,0.92,US,CE/CS
14,0.2,7.8,39,36,University of Nebraska-Lincoln,0.8,US,CE/CS
297,2.8,5.6,1,78,San Diego (UCSD),0.81,US,CE/CS
97,1.2,1.8,75,52,Washington University in St. Louis,0.06,US,CE/CS
142,1.6,3.7,11,87,University of Pittsburgh,0.98,US,CE/CS
70,0.3,5.9,36,87,Pennsylvania State University,0.22,US,CE/CS
284,2.6,1.8,61,14,University of Washington,0.59,US,CE/CS
263,2.3,3.2,82,100,University of Oregon,0.97,US,CE/CS
152,3.9,2.1,47,29,Riverside,0.51,US,CE/CS
156,2.6,0.3,68,85,University of California,0.3,US,CE/CS
208,1.4,2.6,98,79,University of California,0.9,US,CE/CS
46,3.9,6.6,54,21,University of Maryland,0.32,US,CE/CS
168,0.8,7.5,74,59,University of California,0.55,US,CE/CS
185,2.4,6.7,50,66,California Institute of Technology (Caltech),0.64,US,CE/CS
118,2.6,5.8,71,81,University of California,0.0,US,CE/CS
196,0.5,4.7,4,16,Princeton University,0.56,US,CE/CS
233,2.2,6.6,10,10,University of Minnesota - Twin Cities,0.54,US,CE/CS
231,1.0,2.3,60,79,Swiss Federal Institute of Technology (ETH Zurich),0.07,US,CE/CS
195,2.4,7.2,37,20,Virginia Tech,0.84,US,CE/CS
223,2.8,8.1,57,37,University of Rochester,0.88,US,CE/CS
324,2.1,1.6,79,47,University of South Carolina,0.91,US,CE/CS
281,3.1,5.1,73,40,University of Florida,0.38,US,CE/CS
181,0.2,5.5,9,15,University of Maryland,0.85,US,CE/CS
101,0.0,3.8,70,86,Case Western Reserve University,0.16,US,CE/CS
62,2.0,6.9,44,39,Riverside,0.28,US,CE/CS
259,1.0,4.8,33,83,University of Kansas,0.72,US,CE/CS
20,0.3,5.5,100,20,Ohio State University,0.04,US,CE/CS
25,0.3,5.9,6,40,University of Connecticut,0.82,US,CE/CS
249,0.8,3.2,37,43,Emory University,0.82,US,CE/CS
223,3.4,3.7,75,70,Johns Hopkins University,0.19,US,CE/CS
165,0.9,5.3,52,89,University of Virginia,0.81,US,CE/CS
197,3.9,7.5,17,56,Texas A&M University,0.45,US,CE/CS
254,2.8,6.2,55,100,University of Notre Dame,0.78,US,CE/CS
231,0.1,8.3,95,100,Pennsylvania State University,0.3,US,CE/CS
228,0.7,3.2,75,57,Rutgers,0.87,US,CE/CS
214,0.2,0.8,3,93,University of Michigan - Ann Arbor,0.16,US,CE/CS
132,1.6,0.6,92,69,University of California,0.31,US,CE/CS
315,1.9,1.9,56,19,University of Pittsburgh,0.05,US,CE/CS
63,1.3,0.7,49,62,Stanford University,0.52,US,CE/CS
85,1.5,5.8,76,90,San Francisco (UCSF),0.91,US,CE/CS
189,3.4,6.3,76,43,Columbia University,0.35,US,CE/CS
338,2.9,3.8,25,39,University of Nebraska-Lincoln,0.84,US,CE/CS
114,3.4,0.0,48,98,University of Cincinnati,0.35,US,CE/CS
5,2.3,2.9,52,35,Davis (UC Davis),0.02,US,CE/CS
209,2.9,1.8,8,10,Johns Hopkins University,0.28,US,CE/CS
166,3.8,8.6,81,84,University of Colorado Boulder,0.42,US,CE/CS
299,2.1,7.8,62,87,University of Iowa,0.13,US,CE/CS
116,3.2,6.8,12,31,Rice University,0.33,US,CE/CS
309,2.1,8.2,54,2,Rice University,0.54,US,CE/CS
327,3.4,2.2,74,68,Rice University,0.57,US,CE/CS
114,3.7,2.2,93,96,University of Arizona,0.03,US,CE/CS
265,3.8,5.9,56,59,Harvard University,0.87,US,CE/CS
51,3.3,5.1,34,84,University of California,0.58,US,CE/CS
334,0.9,4.5,30,78,University of Rochester,0.04,US,CE/CS
236,1.3,6.8,74,25,University of Minnesota - Twin Cities,0.43,US,CE/CS
313,1.6,4.4,52,46,University of Nebraska-Lincoln,0.74,US,CE/CS
187,3.7,4.4,32,77,University of Miami,0.03,US,CE/CS
340,3.4,5.4,30,3,University of Cincinnati,0.41,US,CE/CS
194,2.0,7.4,61,76,Stanford University,0.13,US,CE/CS
232,2.5,4.5,85,6,Virginia Tech,0.49,US,CE/CS
227,3.3,0.7,69,92,Stanford University,0.35,US,CE/CS
298,2.2,5.3,26,31,Michigan State University,0.06,US,CE/CS
43,3.8,5.3,35,78,Davis (UC Davis),0.51,US,CE/CS
221,1.8,4.2,33,41,Iowa State University,0.91,US,CE/CS
265,1.7,5.1,7,35,University of New Hampshire,0.21,US,CE/CS
85,1.2,1.6,24,65,Virginia Tech,0.78,US,CE/CS
75,0.0,7.9,87,60,San Francisco (UCSF),0.34,US,CE/CS
126,2.9,4.8,44,94,University of Miami,0.62,US,CE/CS
219,2.3,5.9,35,90,University of North Carolina at Chapel Hill,0.19,US,CE/CS
100,1.0,2.9,37,41,University of Oregon,0.42,US,CE/CS
228,2.1,8.8,76,76,University of Connecticut,0.65,US,CE/CS
234,2.4,8.5,61,22,University of Chicago,0.03,US,CE/CS
124,2.3,7.0,16,78,University of Pennsylvania,0.79,US,CE/CS
292,1.0,1.7,23,48,Rice University,0.21,US,CE/CS
126,0.9,6.3,1,4,Ohio State University,0.93,US,CE/CS
265,3.5,2.0,25,33,University of Oregon,0.35,US,CE/CS
127,0.7,2.9,43,47,San Francisco (UCSF),0.7,US,CE/CS
30,2.0,4.3,71,76,University of Wisconsin-Madison,0.29,US,CE/CS
264,4.0,6.3,100,29,University of Miami,0.41,US,CE/CS
75,0.4,6.6,18,40,University of Iowa,0.62,US,CE/CS
331,2.6,8.8,97,79,Virginia Tech,0.5,US,CE/CS
191,3.8,0.4,92,88,Boston University,0.55,US,CE/CS
271,1.6,2.1,20,57,University of California,0.26,US,CE/CS
330,1.5,7.1,43,5,University of California,0.45,US,CE/CS
63,0.9,8.7,30,7,University of North Carolina at Chapel Hill,0.75,US,CE/CS
143,0.2,1.8,75,60,Stanford University,0.18,US,CE/CS
163,3.0,7.7,66,93,Los Angeles (UCLA),0.97,US,CE/CS
163,2.1,7.0,37,82,Brown University,0.56,US,CE/CS
326,2.8,2.3,43,77,Florida State University,0.03,US,CE/CS
35,1.3,5.2,35,99,Auburn University.,0.6,US,CE/CS
171,0.2,5.0,36,22,University of California,0.94,US,CE/CS
16,3.2,4.6,10,54,College Park,0.47,US,CE/CS
19,2.5,0.3,78,68,Stanford University,0.69,US,CE/CS
111,0.9,4.6,22,17,Rice University,0.35,US,CE/CS
48,1.2,3.2,96,93,University of Pennsylvania,0.15,US,CE/CS
205,2.5,3.8,9,78,Swiss Federal Institute of Technology (ETH Zurich),0.31,US,CE/CS
112,0.6,3.5,68,99,Johns Hopkins University,0.92,US,CE/CS
323,2.8,8.0,5,18,University of Florida,0.99,US,CE/CS
120,1.3,8.4,100,4,Brown University,0.72,US,CE/CS
103,3.4,4.7,78,42,Auburn University.,0.57,US,CE/CS
309,3.3,0.1,70,25,New York University (NYU),0.85,US,CE/CS
145,0.0,4.9,42,67,University of California,0.53,US,CE/CS
195,1.0,6.1,65,4,College Park,0.13,US,CE/CS
307,0.0,4.6,36,54,University of Oklahoma,0.81,US,CE/CS
75,2.1,0.7,22,70,University of Utah,0.8,US,CE/CS
275,3.1,8.9,83,0,University of Virginia,0.67,US,CE/CS
326,0.8,7.9,53,32,Iowa State University,0.85,US,CE/CS
76,2.9,2.7,66,53,Massachusetts Institute of Technology (MIT),0.88,US,CE/CS
279,0.5,3.1,93,93,University of California,0.99,US,CE/CS
231,1.5,5.0,3,1,Duke University,0.18,US,CE/CS
50,1.6,1.4,66,98,University of Maryland,0.76,US,CE/CS
291,1.1,2.3,20,9,Irvine (UCI),0.56,US,CE/CS
213,4.0,1.5,55,19,Ohio State University,0.9,US,CE/CS
4,1.7,1.0,75,83,University of Florida,0.64,US,CE/CS
181,1.2,3.5,19,72,University of Oklahoma,0.18,US,CE/CS
40,1.1,8.9,2,75,George Washington University,0.45,US,CE/CS
58,1.4,5.0,38,46,Pennsylvania State University,0.36,US,CE/CS
225,2.1,3.3,23,44,Berkeley,0.54,US,CE/CS
95,0.3,4.4,90,94,University of California,0.75,US,CE/CS
93,0.3,1.7,79,41,Iowa State University,0.63,US,CE/CS
29,1.5,3.9,33,76,Syracuse University,0.5,US,CE/CS
312,0.3,7.2,33,98,College Park,0.33,US,CE/CS
263,1.2,2.1,56,41,University of Maryland,0.09,US,CE/CS
111,0.8,2.3,35,66,Virginia Tech,0.96,US,CE/CS
340,0.1,0.5,80,0,Los Angeles (UCLA),0.97,US,CE/CS
182,1.7,2.5,10,34,Irvine (UCI),0.06,US,CE/CS
4,1.5,4.2,27,15,University of Chicago,0.84,US,CE/CS
297,3.2,4.9,79,68,Arizona State University,0.92,US,CE/CS
137,3.4,5.6,40,36,Iowa State University,0.36,US,CE/CS
279,1.3,3.8,83,85,California Institute of Technology (Caltech),0.01,US,CE/CS
119,3.3,5.0,76,20,University of California,0.04,US,CE/CS
178,3.7,1.9,90,84,Vanderbilt University,0.23,US,CE/CS
67,3.1,5.7,19,95,George Washington University,0.47,US,CE/CS
101,2.1,7.5,20,50,University of Nebraska-Lincoln,0.59,US,CE/CS
7,1.8,0.7,22,12,New York University (NYU),0.33,US,CE/CS
228,1.6,4.3,35,79,University of Cincinnati,0.15,US,CE/CS
114,2.7,2.8,12,29,University of Illinois Urbana-Champaign,0.42,US,CE/CS
319,1.8,1.9,52,56,University of Maryland,0.41,US,CE/CS
50,1.6,7.2,68,3,University of Maryland,1.0,US,CE/CS
134,1.9,2.0,56,42,Columbia University,0.59,US,CE/CS
291,3.4,0.9,40,52,Emory University,0.97,US,CE/CS
209,0.5,3.5,39,50,Emory University,0.16,US,CE/CS
185,2.2,8.7,37,23,Georgia Institute of Technology,0.76,US,CE/CS
292,3.1,2.5,56,69,University of California,0.34,US,CE/CS
196,3.5,3.4,23,56,University of California,0.49,US,CE/CS
333,3.1,7.6,5,84,San Francisco (UCSF),0.33,US,CE/CS
270,0.5,3.7,80,64,University of California,0.89,US,CE/CS
215,0.1,0.1,57,35,Princeton University,0.7,US,CE/CS
14,3.2,0.1,85,98,University of Pennsylvania,0.36,US,CE/CS
310,2.0,1.1,46,95,University of Rochester,0.51,US,CE/CS
81,2.9,6.7,30,41,Carnegie Mellon University,0.42,US,CE/CS
97,1.2,2.5,44,35,University of California,0.88,US,CE/CS
18,1.1,6.7,84,23,Riverside,0.09,US,CE/CS
310,0.4,4.0,92,6,University of California,0.44,US,CE/CS
75,2.3,0.7,3,91,University of Oregon,0.67,US,CE/CS
211,0.1,4.5,29,16,University of Florida,0.91,US,CE/CS
88,3.6,0.4,13,47,Brown University,0.9,US,CE/CS
284,1.0,2.0,39,6,University of Nebraska-Lincoln,0.6,US,CE/CS
142,3.8,4.1,36,34,Berkeley,0.19,US,CE/CS
270,3.2,0.9,19,37,University of California,0.19,US,CE/CS
58,1.0,6.7,78,56,California Institute of Technology (Caltech),0.23,US,CE/CS
45,2.7,6.2,21,46,University of Miami,0.31,US,CE/CS
250,0.2,8.4,59,35,Rutgers,0.7,US,CE/CS
89,2.9,0.1,84,67,Princeton University,0.09,US,CE/CS
37,0.3,5.2,85,23,Harvard University,0.67,US,CE/CS
215,2.4,0.1,55,8,Texas A&M University,0.39,US,CE/CS
323,2.4,1.2,76,45,University of Alabama,0.38,US,CE/CS
153,2.9,3.7,100,20,Northwestern University,0.44,US,CE/CS
174,0.4,8.0,32,29,Virginia Tech,0.54,US,CE/CS
116,3.4,2.2,33,68,Carnegie Mellon University,0.88,US,CE/CS
37,2.3,4.4,43,31,University of Pittsburgh,0.92,US,CE/CS
64,1.1,4.2,38,20,Clemson University,0.4,US,CE/CS
207,3.5,4.1,10,89,University of California,0.9,US,CE/CS
132,3.3,2.7,7,99,Syracuse University,0.11,US,CE/CS
143,2.3,0.4,60,66,Riverside,0.37,US,CE/CS
49,2.4,6.8,20,85,Colorado State University,0.11,US,CE/CS
135,1.8,2.7,51,57,University of Maryland,0.93,US,CE/CS
131,2.7,5.0,97,26,Emory University,0.3,US,CE/CS
230,3.5,4.8,53,13,Los Angeles (UCLA),0.21,US,CE/CS
28,3.6,2.7,98,27,Massachusetts Institute of Technology (MIT),0.89,US,CE/CS
16,0.0,2.2,96,77,University of Florida,0.12,US,CE/CS
255,0.2,5.8,38,17,University of California,0.98,US,CE/CS
243,3.5,0.1,76,70,University of Virginia,0.38,US,CE/CS
269,2.4,0.6,78,10,New York University (NYU),0.51,US,CE/CS
29,2.1,3.7,97,73,University of Alabama,0.23,US,CE/CS
153,2.6,2.5,32,41,University of North Carolina at Chapel Hill,0.81,US,CE/CS
228,0.3,0.9,43,48,University of Iowa,0.21,US,CE/CS
108,0.5,4.5,65,34,University of Florida,0.32,US,CE/CS
333,3.8,2.2,49,49,University of Southern California (USC),0.34,US,CE/CS
55,1.0,7.9,82,23,Georgia Institute of Technology,0.56,US,CE/CS
203,2.6,7.9,8,62,California Institute of Technology (Caltech),0.91,US,CE/CS
110,0.7,0.2,73,60,Berkeley,0.26,US,CE/CS
68,2.7,0.7,31,19,University of Chicago,0.65,US,CE/CS
123,0.8,5.3,88,73,Santa Barbara (UCSB),0.12,US,CE/CS
190,3.7,0.7,27,37,University of Colorado Boulder,0.62,US,CE/CS
139,2.7,7.2,51,79,University of Michigan - Ann Arbor,0.14,US,CE/CS
66,1.1,3.3,55,13,Auburn University.,0.3,US,CE/CS
299,2.5,4.5,55,1,University of California,0.26,US,CE/CS
333,3.3,1.6,52,73,University of Alabama,0.56,US,CE/CS
48,1.8,1.1,38,85,University of Kansas,0.0,US,CE/CS
77,0.4,5.9,52,46,Vanderbilt University,0.63,US,CE/CS
194,1.8,5.9,41,64,Syracuse University,0.1,US,CE/CS
56,1.5,5.2,38,76,University of Southern California (USC),0.11,US,CE/CS
191,0.7,2.1,25,75,University of Notre Dame,0.11,US,CE/CS
73,0.4,2.8,71,94,Davis (UC Davis),0.02,US,CE/CS
223,0.2,4.7,47,26,University of Oklahoma,0.76,US,CE/CS
245,1.0,2.5,68,84,Stanford University,0.23,US,CE/CS
312,1.8,7.7,35,37,University of Oklahoma,0.07,US,CE/CS
88,1.0,5.4,18,44,Pennsylvania State University,0.55,US,CE/CS
128,1.4,7.3,16,90,University of Oklahoma,0.8,US,CE/CS
272,1.0,4.4,92,85,Rice University,0.05,US,CE/CS
70,2.9,6.6,88,40,Northwestern University,0.89,US,CE/CS
28,1.0,8.8,18,81,University of Iowa,0.96,US,CE/CS
78,0.6,7.3,44,63,University of California,0.31,US,CE/CS
40,3.8,8.7,1,59,Massachusetts Institute of Technology (MIT),0.18,US,CE/CS
39,3.4,8.1,11,90,Washington University in St. Louis,0.54,US,CE/CS
36,1.1,6.5,47,76,Purdue University,0.51,US,CE/CS
78,1.2,6.6,53,90,Carnegie Mellon University,0.79,US,CE/CS
301,2.1,8.5,19,3,Northwestern University,0.71,US,CE/CS
40,3.5,8.6,34,71,Texas A&M University,0.26,US,CE/CS
62,2.4,5.5,67,60,University of Delaware,0.9,US,CE/CS
332,2.1,8.7,11,28,University of New Hampshire,0.87,US,CE/CS
286,0.7,4.1,20,99,University of California,0.51,US,CE/CS
299,3.5,3.5,32,100,University of Notre Dame,0.67,US,CE/CS
7,0.4,0.4,62,56,Pennsylvania State University,0.74,US,CE/CS
37,3.9,1.9,75,93,Rutgers,0.86,US,CE/CS
231,3.5,0.5,86,100,Ohio State University,0.54,US,CE/CS
191,1.9,3.4,47,97,Duke University,0.68,US,CE/CS
266,1.2,5.2,28,40,University of Florida,0.82,US,CE/CS
89,2.2,7.6,45,94,Iowa State University,0.77,US,CE/CS
293,1.2,1.2,12,80,University of New Hampshire,0.57,US,CE/CS
132,1.4,5.3,17,41,Davis (UC Davis),0.32,US,CE/CS
202,3.7,2.7,84,2,University of Chicago,0.74,US,CE/CS
95,2.1,5.2,67,27,University of Pennsylvania,0.1,US,CE/CS
122,0.7,8.5,11,89,Duke University,0.65,US,CE/CS
226,1.1,6.8,15,6,The State University of New Jersey,0.55,US,CE/CS
29,3.5,4.2,51,65,University of Washington,0.28,US,CE/CS
137,1.0,6.4,31,24,University of Texas at Austin,0.11,US,CE/CS
22,1.0,4.4,52,21,University of Maryland,0.77,US,CE/CS
152,0.9,2.8,18,92,Arizona State University,0.07,US,CE/CS
194,1.5,0.5,59,45,University of Connecticut,0.06,US,CE/CS
60,0.8,0.0,88,100,University of North Carolina at Chapel Hill,0.7,US,CE/CS
237,1.4,8.6,53,98,Davis (UC Davis),0.74,US,CE/CS
133,2.0,5.7,34,96,University of Michigan - Ann Arbor,0.48,US,CE/CS
163,2.2,1.1,78,33,University of Arizona,0.75,US,CE/CS
152,3.7,2.1,15,15,University of Pennsylvania,0.22,US,CE/CS
159,2.8,4.6,84,87,Irvine (UCI),0.29,US,CE/CS
108,3.5,1.0,41,53,Ohio State University,0.25,US,CE/CS
181,3.2,1.1,71,8,University of Connecticut,0.42,US,CE/CS
339,2.4,6.2,56,33,Virginia Tech,0.11,US,CE/CS
311,0.6,7.1,86,14,University of California,0.23,US,CE/CS
111,2.3,2.3,99,20,Columbia University,0.47,US,CE/CS
245,1.2,2.4,47,53,Carnegie Mellon University,0.24,US,CE/CS
39,0.3,4.6,27,16,Iowa State University,0.78,US,CE/CS
176,0.4,4.8,15,18,University of Michigan - Ann Arbor,0.45,US,CE/CS
11,0.1,5.6,68,15,University of California,0.34,US,CE/CS
163,0.4,4.9,83,16,University of Virginia,0.39,US,CE/CS
188,3.2,5.9,99,97,Stanford University,0.74,US,CE/CS
206,3.8,4.8,86,17,The State University of New Jersey,1.0,US,CE/CS
117,3.2,7.4,20,14,University of Maryland,0.94,US,CE/CS
1,2.4,7.0,25,47,University of Virginia,0.57,US,CE/CS
281,0.9,3.9,62,66,University of Miami,0.29,US,CE/CS
232,2.1,2.0,53,22,Northwestern University,0.5,US,CE/CS
238,0.5,6.7,71,43,University of Miami,0.17,US,CE/CS
73,2.1,8.7,77,4,Stanford University,0.91,US,CE/CS
246,1.8,5.1,100,43,University of Florida,0.83,US,CE/CS
300,2.6,5.3,52,7,Washington University in St. Louis,0.29,US,CE/CS
