,GRE Score,GPA,IELTS Score,Research Paper,University Ranking,University Name,Admit Probability,country,course
230,326,2.8,2.3,43,77,Florida State University,0.03,US,CE/CS
231,35,1.3,5.2,35,99,Auburn University.,0.6,US,CE/CS
232,171,0.2,5.0,36,22,University of California,0.94,US,CE/CS
233,16,3.2,4.6,10,54,College Park,0.47,US,CE/CS
234,19,2.5,0.3,78,68,Stanford University,0.69,US,CE/CS
235,111,0.9,4.6,22,17,Rice University,0.35,US,CE/CS
236,48,1.2,3.2,96,93,University of Pennsylvania,0.15,US,CE/CS
237,205,2.5,3.8,9,78,Swiss Federal Institute of Technology (ETH Zurich),0.31,US,CE/CS
238,112,0.6,3.5,68,99,Johns Hopkins University,0.92,US,CE/CS
239,323,2.8,8.0,5,18,University of Florida,0.99,US,CE/CS
240,120,1.3,8.4,100,4,Brown University,0.72,US,CE/CS
241,103,3.4,4.7,78,42,Auburn University.,0.57,US,CE/CS
242,309,3.3,0.1,70,25,New York University (NYU),0.85,US,CE/CS
243,145,0.0,4.9,42,67,University of California,0.53,US,CE/CS
244,195,1.0,6.1,65,4,College Park,0.13,US,CE/CS
245,307,0.0,4.6,36,54,University of Oklahoma,0.81,US,CE/CS
246,75,2.1,0.7,22,70,University of Utah,0.8,US,CE/CS
247,275,3.1,8.9,83,0,University of Virginia,0.67,US,CE/CS
248,326,0.8,7.9,53,32,Iowa State University,0.85,US,CE/CS
249,76,2.9,2.7,66,53,Massachusetts Institute of Technology (MIT),0.88,US,CE/CS
250,279,0.5,3.1,93,93,University of California,0.99,US,CE/CS
251,231,1.5,5.0,3,1,Duke University,0.18,US,CE/CS
252,50,1.6,1.4,66,98,University of Maryland,0.76,US,CE/CS
253,291,1.1,2.3,20,9,Irvine (UCI),0.56,US,CE/CS
254,213,4.0,1.5,55,19,Ohio State University,0.9,US,CE/CS
255,4,1.7,1.0,75,83,University of Florida,0.64,US,CE/CS
256,181,1.2,3.5,19,72,University of Oklahoma,0.18,US,CE/CS
257,40,1.1,8.9,2,75,George Washington University,0.45,US,CE/CS
258,58,1.4,5.0,38,46,Pennsylvania State University,0.36,US,CE/CS
259,225,2.1,3.3,23,44,Berkeley,0.54,US,CE/CS
260,95,0.3,4.4,90,94,University of California,0.75,US,CE/CS
261,93,0.3,1.7,79,41,Iowa State University,0.63,US,CE/CS
262,29,1.5,3.9,33,76,Syracuse University,0.5,US,CE/CS
263,312,0.3,7.2,33,98,College Park,0.33,US,CE/CS
264,263,1.2,2.1,56,41,University of Maryland,0.09,US,CE/CS
265,111,0.8,2.3,35,66,Virginia Tech,0.96,US,CE/CS
266,340,0.1,0.5,80,0,Los Angeles (UCLA),0.97,US,CE/CS
267,182,1.7,2.5,10,34,Irvine (UCI),0.06,US,CE/CS
268,4,1.5,4.2,27,15,University of Chicago,0.84,US,CE/CS
269,297,3.2,4.9,79,68,Arizona State University,0.92,US,CE/CS
270,137,3.4,5.6,40,36,Iowa State University,0.36,US,CE/CS
271,279,1.3,3.8,83,85,California Institute of Technology (Caltech),0.01,US,CE/CS
272,119,3.3,5.0,76,20,University of California,0.04,US,CE/CS
273,178,3.7,1.9,90,84,Vanderbilt University,0.23,US,CE/CS
274,67,3.1,5.7,19,95,George Washington University,0.47,US,CE/CS
275,101,2.1,7.5,20,50,University of Nebraska-Lincoln,0.59,US,CE/CS
276,7,1.8,0.7,22,12,New York University (NYU),0.33,US,CE/CS
277,228,1.6,4.3,35,79,University of Cincinnati,0.15,US,CE/CS
278,114,2.7,2.8,12,29,University of Illinois Urbana-Champaign,0.42,US,CE/CS
279,319,1.8,1.9,52,56,University of Maryland,0.41,US,CE/CS
280,50,1.6,7.2,68,3,University of Maryland,1.0,US,CE/CS
281,134,1.9,2.0,56,42,Columbia University,0.59,US,CE/CS
282,291,3.4,0.9,40,52,Emory University,0.97,US,CE/CS
283,209,0.5,3.5,39,50,Emory University,0.16,US,CE/CS
284,185,2.2,8.7,37,23,Georgia Institute of Technology,0.76,US,CE/CS
285,292,3.1,2.5,56,69,University of California,0.34,US,CE/CS
286,196,3.5,3.4,23,56,University of California,0.49,US,CE/CS
287,333,3.1,7.6,5,84,San Francisco (UCSF),0.33,US,CE/CS
288,270,0.5,3.7,80,64,University of California,0.89,US,CE/CS
289,215,0.1,0.1,57,35,Princeton University,0.7,US,CE/CS
290,14,3.2,0.1,85,98,University of Pennsylvania,0.36,US,CE/CS
291,310,2.0,1.1,46,95,University of Rochester,0.51,US,CE/CS
292,81,2.9,6.7,30,41,Carnegie Mellon University,0.42,US,CE/CS
293,97,1.2,2.5,44,35,University of California,0.88,US,CE/CS
294,18,1.1,6.7,84,23,Riverside,0.09,US,CE/CS
295,310,0.4,4.0,92,6,University of California,0.44,US,CE/CS
296,75,2.3,0.7,3,91,University of Oregon,0.67,US,CE/CS
297,211,0.1,4.5,29,16,University of Florida,0.91,US,CE/CS
298,88,3.6,0.4,13,47,Brown University,0.9,US,CE/CS
299,284,1.0,2.0,39,6,University of Nebraska-Lincoln,0.6,US,CE/CS
300,142,3.8,4.1,36,34,Berkeley,0.19,US,CE/CS
301,270,3.2,0.9,19,37,University of California,0.19,US,CE/CS
302,58,1.0,6.7,78,56,California Institute of Technology (Caltech),0.23,US,CE/CS
303,45,2.7,6.2,21,46,University of Miami,0.31,US,CE/CS
304,250,0.2,8.4,59,35,Rutgers,0.7,US,CE/CS
305,89,2.9,0.1,84,67,Princeton University,0.09,US,CE/CS
306,37,0.3,5.2,85,23,Harvard University,0.67,US,CE/CS
307,215,2.4,0.1,55,8,Texas A&M University,0.39,US,CE/CS
308,323,2.4,1.2,76,45,University of Alabama,0.38,US,CE/CS
309,153,2.9,3.7,100,20,Northwestern University,0.44,US,CE/CS
310,174,0.4,8.0,32,29,Virginia Tech,0.54,US,CE/CS
311,116,3.4,2.2,33,68,Carnegie Mellon University,0.88,US,CE/CS
312,37,2.3,4.4,43,31,University of Pittsburgh,0.92,US,CE/CS
313,64,1.1,4.2,38,20,Clemson University,0.4,US,CE/CS
314,207,3.5,4.1,10,89,University of California,0.9,US,CE/CS
315,132,3.3,2.7,7,99,Syracuse University,0.11,US,CE/CS
316,143,2.3,0.4,60,66,Riverside,0.37,US,CE/CS
317,49,2.4,6.8,20,85,Colorado State University,0.11,US,CE/CS
318,135,1.8,2.7,51,57,University of Maryland,0.93,US,CE/CS
319,131,2.7,5.0,97,26,Emory University,0.3,US,CE/CS
320,230,3.5,4.8,53,13,Los Angeles (UCLA),0.21,US,CE/CS
321,28,3.6,2.7,98,27,Massachusetts Institute of Technology (MIT),0.89,US,CE/CS
322,16,0.0,2.2,96,77,University of Florida,0.12,US,CE/CS
323,255,0.2,5.8,38,17,University of California,0.98,US,CE/CS
324,243,3.5,0.1,76,70,University of Virginia,0.38,US,CE/CS
325,269,2.4,0.6,78,10,New York University (NYU),0.51,US,CE/CS
326,29,2.1,3.7,97,73,University of Alabama,0.23,US,CE/CS
327,153,2.6,2.5,32,41,University of North Carolina at Chapel Hill,0.81,US,CE/CS
328,228,0.3,0.9,43,48,University of Iowa,0.21,US,CE/CS
329,108,0.5,4.5,65,34,University of Florida,0.32,US,CE/CS
330,333,3.8,2.2,49,49,University of Southern California (USC),0.34,US,CE/CS
331,55,1.0,7.9,82,23,Georgia Institute of Technology,0.56,US,CE/CS
332,203,2.6,7.9,8,62,California Institute of Technology (Caltech),0.91,US,CE/CS
333,110,0.7,0.2,73,60,Berkeley,0.26,US,CE/CS
334,68,2.7,0.7,31,19,University of Chicago,0.65,US,CE/CS
335,123,0.8,5.3,88,73,Santa Barbara (UCSB),0.12,US,CE/CS
336,190,3.7,0.7,27,37,University of Colorado Boulder,0.62,US,CE/CS
337,139,2.7,7.2,51,79,University of Michigan - Ann Arbor,0.14,US,CE/CS
338,66,1.1,3.3,55,13,Auburn University.,0.3,US,CE/CS
339,299,2.5,4.5,55,1,University of California,0.26,US,CE/CS
340,333,3.3,1.6,52,73,University of Alabama,0.56,US,CE/CS
341,48,1.8,1.1,38,85,University of Kansas,0.0,US,CE/CS
342,77,0.4,5.9,52,46,Vanderbilt University,0.63,US,CE/CS
343,194,1.8,5.9,41,64,Syracuse University,0.1,US,CE/CS
344,56,1.5,5.2,38,76,University of Southern California (USC),0.11,US,CE/CS
345,191,0.7,2.1,25,75,University of Notre Dame,0.11,US,CE/CS
346,73,0.4,2.8,71,94,Davis (UC Davis),0.02,US,CE/CS
347,223,0.2,4.7,47,26,University of Oklahoma,0.76,US,CE/CS
348,245,1.0,2.5,68,84,Stanford University,0.23,US,CE/CS
349,312,1.8,7.7,35,37,University of Oklahoma,0.07,US,CE/CS
350,88,1.0,5.4,18,44,Pennsylvania State University,0.55,US,CE/CS
351,128,1.4,7.3,16,90,University of Oklahoma,0.8,US,CE/CS
352,272,1.0,4.4,92,85,Rice University,0.05,US,CE/CS
353,70,2.9,6.6,88,40,Northwestern University,0.89,US,CE/CS
354,28,1.0,8.8,18,81,University of Iowa,0.96,US,CE/CS
355,78,0.6,7.3,44,63,University of California,0.31,US,CE/CS
356,40,3.8,8.7,1,59,Massachusetts Institute of Technology (MIT),0.18,US,CE/CS
357,39,3.4,8.1,11,90,Washington University in St. Louis,0.54,US,CE/CS
358,36,1.1,6.5,47,76,Purdue University,0.51,US,CE/CS
359,78,1.2,6.6,53,90,Carnegie Mellon University,0.79,US,CE/CS
360,301,2.1,8.5,19,3,Northwestern University,0.71,US,CE/CS
361,40,3.5,8.6,34,71,Texas A&M University,0.26,US,CE/CS
362,62,2.4,5.5,67,60,University of Delaware,0.9,US,CE/CS
363,332,2.1,8.7,11,28,University of New Hampshire,0.87,US,CE/CS
364,286,0.7,4.1,20,99,University of California,0.51,US,CE/CS
365,299,3.5,3.5,32,100,University of Notre Dame,0.67,US,CE/CS
366,7,0.4,0.4,62,56,Pennsylvania State University,0.74,US,CE/CS
367,37,3.9,1.9,75,93,Rutgers,0.86,US,CE/CS
368,231,3.5,0.5,86,100,Ohio State University,0.54,US,CE/CS
369,191,1.9,3.4,47,97,Duke University,0.68,US,CE/CS
370,266,1.2,5.2,28,40,University of Florida,0.82,US,CE/CS
371,89,2.2,7.6,45,94,Iowa State University,0.77,US,CE/CS
372,293,1.2,1.2,12,80,University of New Hampshire,0.57,US,CE/CS
373,132,1.4,5.3,17,41,Davis (UC Davis),0.32,US,CE/CS
374,202,3.7,2.7,84,2,University of Chicago,0.74,US,CE/CS
375,95,2.1,5.2,67,27,University of Pennsylvania,0.1,US,CE/CS
376,122,0.7,8.5,11,89,Duke University,0.65,US,CE/CS
377,226,1.1,6.8,15,6,The State University of New Jersey,0.55,US,CE/CS
378,29,3.5,4.2,51,65,University of Washington,0.28,US,CE/CS
379,137,1.0,6.4,31,24,University of Texas at Austin,0.11,US,CE/CS
380,22,1.0,4.4,52,21,University of Maryland,0.77,US,CE/CS
381,152,0.9,2.8,18,92,Arizona State University,0.07,US,CE/CS
382,194,1.5,0.5,59,45,University of Connecticut,0.06,US,CE/CS
383,60,0.8,0.0,88,100,University of North Carolina at Chapel Hill,0.7,US,CE/CS
384,237,1.4,8.6,53,98,Davis (UC Davis),0.74,US,CE/CS
385,133,2.0,5.7,34,96,University of Michigan - Ann Arbor,0.48,US,CE/CS
